journal,SJR
cambridge journal of anthropology,"0,247"
canadian journal of community mental health,"0,247"
carbon and climate law review,"0,247"
comparative political theory,"0,247"
comparative sociology,"0,247"
computational and mathematical biophysics,"0,247"
cuadernos de derecho transnacional,"0,247"
czech polar reports,"0,247"
derbyana,"0,247"
desalination and water treatment,"0,247"
estudos avancados,"0,247"
"foundations and trends in technology, information and operations management","0,247"
hacquetia,"0,247"
ingenierie des systemes d'information,"0,247"
insecta matsumurana,"0,247"
international journal of technology marketing,"0,247"
italian journal of engineering geology and environment,"0,247"
journal for the study of the new testament,"0,247"
journal of industrial engineering and engineering management,"0,247"
journal of modern optics,"0,247"
journal of multiple-valued logic and soft computing,"0,247"
journal of transportation security,"0,247"
life writing,"0,247"
paper and biomaterials,"0,247"
patterns of prejudice,"0,247"
persica antiqua,"0,247"
policy and practice,"0,247"
polis,"0,247"
portuguese journal of public health,"0,247"
pratiques psychologiques,"0,247"
"proceedings - linear accelerator conference, linac","0,247"
przeglad geofizyczny,"0,247"
revue de medecine interne,"0,247"
search journal of media and communication research,"0,247"
sleep and vigilance,"0,247"
somnologie,"0,247"
sound and vibration,"0,247"
teorija in praksa,"0,247"
transplantology,"0,247"
uniciencia,"0,247"
vegetos,"0,247"
veterinary integrative sciences,"0,247"
xitong fangzhen xuebao / journal of system simulation,"0,247"
zhongguo jixie gongcheng/china mechanical engineering,"0,247"
agricultural and resource economics,"0,246"
annales de chimie,"0,246"
"art, design and communication in higher education","0,246"
case reports in nephrology,"0,246"
"cognition, brain, behavior. an interdisciplinary journal","0,246"
cognitive studies,"0,246"
conference record of the ieee photovoltaic specialists conference,"0,246"
current nanomaterials,"0,246"
current surgery reports,"0,246"
defence science journal,"0,246"
"discontinuity, nonlinearity, and complexity","0,246"
economics and environment,"0,246"
economie et statistique,"0,246"
epidemiologic methods,"0,246"
"epidemiologie, mikrobiologie, imunologie","0,246"
harvard environmental law review,"0,246"
history of science and technology,"0,246"
humana mente,"0,246"
indian journal of leprosy,"0,246"
iraqi journal for electrical and electronic engineering,"0,246"
journal of east-west business,"0,246"
journal of fixed income,"0,246"
journal of men's health,"0,246"
journal of psychosocial oncology research and practice,"0,246"
journal of water and environment technology,"0,246"
linguistic frontiers,"0,246"
middle east journal,"0,246"
military behavioral health,"0,246"
new zealand journal of botany,"0,246"
north american archaeologist,"0,246"
plasma and fusion research,"0,246"
south african journal of agricultural extension,"0,246"
twentieth century british history,"0,246"
visual communication quarterly,"0,246"
adalya,"0,245"
aging pathobiology and therapeutics,"0,245"
anthropological forum,"0,245"
beijing hangkong hangtian daxue xuebao/journal of beijing university of aeronautics and astronautics,"0,245"
beijing linye daxue xuebao/journal of beijing forestry university,"0,245"
"bulletin of the south ural state university, series","0,245"
childhood and philosophy,"0,245"
chinese journal of wood science and technology,"0,245"
cirugia pediatrica,"0,245"
ecosistemas,"0,245"
genetic resources,"0,245"
gulf and caribbean research,"0,245"
helgoland marine research,"0,245"
innovations in incidence geometry,"0,245"
international journal of advanced technology and engineering exploration,"0,245"
international journal of electrical and electronic engineering and telecommunications,"0,245"
international journal of foundations of computer science,"0,245"
investigaciones geograficas,"0,245"
iranian journal of otorhinolaryngology,"0,245"
journal of electric power science and technology,"0,245"
journal of environmental biology,"0,245"
journal of frontier studies,"0,245"
journal of mekong societies,"0,245"
journal of renewable energy and environment,"0,245"
marine technology society journal,"0,245"
metallurgist,"0,245"
new writing,"0,245"
north carolina medical journal,"0,245"
numeracy,"0,245"
proceedings of the national academy of sciences india section a - physical sciences,"0,245"
revista ambiente e agua,"0,245"
revista de psicologia,"0,245"
"ribarstvo, croatian journal of fisheries","0,245"
russian journal of non-ferrous metals,"0,245"
slovensky narodopis,"0,245"
south african journal of education,"0,245"
southeastern naturalist,"0,245"
strategies,"0,245"
studia z prawa wyznaniowego,"0,245"
undersea and hyperbaric medicine,"0,245"
"vestnik moskovskogo universiteta, seriya geografiya","0,245"
xi'an jianzhu keji daxue xuebao/journal of xi'an university of architecture and technology,"0,245"
zeitschrift fur kinder- und jugendpsychiatrie und psychotherapie,"0,245"
acta botanica croatica,"0,244"
aerospace medicine and human performance,"0,244"
agriculture and forestry,"0,244"
annals of emerging technologies in computing,"0,244"
annals of library and information studies,"0,244"
archivos espanoles de urologia,"0,244"
"arte, individuo y sociedad","0,244"
asian fisheries science,"0,244"
asian journal for mathematics education,"0,244"
asian journal of peacebuilding,"0,244"
austral journal of veterinary sciences,"0,244"
china welding,"0,244"
chinese journal of lung cancer,"0,244"
communication sciences and disorders,"0,244"
dancecult,"0,244"
eludamos,"0,244"
geofizika,"0,244"
global jurist,"0,244"
indian journal of agricultural economics,"0,244"
intercultural communication education,"0,244"
international journal of biological and chemical sciences,"0,244"
international journal of language and law,"0,244"
international journal of rotating machinery,"0,244"
journal of applied science and engineering,"0,244"
journal of communications,"0,244"
journal of ethology,"0,244"
journal of friction and wear,"0,244"
journal of high speed networks,"0,244"
journal of multiscale modelling,"0,244"
journal of sex- and gender- specific medicine,"0,244"
journal of ship production and design,"0,244"
journal of social welfare and family law,"0,244"
journal of water management modeling,"0,244"
"language, discourse and society","0,244"
madera y bosques,"0,244"
mechanics of solids,"0,244"
mikrobiyoloji bulteni,"0,244"
negotiation and conflict management research,"0,244"
paramedicine,"0,244"
polymer science - series a,"0,244"
refractories and industrial ceramics,"0,244"
russian journal of physical chemistry b,"0,244"
strength of materials,"0,244"
technology and disability,"0,244"
ukrainian geographical journal,"0,244"
wirtschaftsdienst,"0,244"
wseas transactions on applied and theoretical mechanics,"0,244"
annales de chirurgie plastique esthetique,"0,243"
balkan journal of medical genetics,"0,243"
biomath,"0,243"
biomedical and biotechnology research journal,"0,243"
cerne,"0,243"
chemistry of heterocyclic compounds,"0,243"
chirurgia,"0,243"
dialectical anthropology,"0,243"
digest journal of nanomaterials and biostructures,"0,243"
digital presentation and preservation of cultural and scientific heritage,"0,243"
european journal of comparative law and governance,"0,243"
european journal of mass spectrometry,"0,243"
european review of private law,"0,243"
fluctuation and noise letters,"0,243"
global trade and customs journal,"0,243"
hegel bulletin,"0,243"
human organization,"0,243"
indonesian journal of geography,"0,243"
international journal of computational and experimental science and engineering,"0,243"
international journal of economic policy studies,"0,243"
international journal of hematology-oncology and stem cell research,"0,243"
international journal of humanities and arts computing,"0,243"
israel medical association journal,"0,243"
journal of african history,"0,243"
journal of canadian studies,"0,243"
journal of endocrinology and metabolism,"0,243"
"journal of microbiology, biotechnology and food sciences","0,243"
journal of the history of biology,"0,243"
jp journal of heat and mass transfer,"0,243"
kongzhi lilun yu yingyong/control theory and applications,"0,243"
lingue e linguaggio,"0,243"
magis,"0,243"
mediterranean archaeology and archaeometry,"0,243"
memo - magazine of european medical oncology,"0,243"
mextesol journal,"0,243"
modelling and simulation in engineering,"0,243"
moscow university mathematics bulletin,"0,243"
nuclear and radiation safety,"0,243"
oriental anthropologist,"0,243"
physiotherapy quarterly,"0,243"
pravention und gesundheitsforderung,"0,243"
"revista de logopedia, foniatria y audiologia","0,243"
revista espanola de pedagogia,"0,243"
science education international,"0,243"
sexologies,"0,243"
sport und gesellschaft,"0,243"
zeitschrift fur klinische psychologie und psychotherapie,"0,243"
abac journal,"0,242"
american historical review,"0,242"
annales botanici fennici,"0,242"
anthropological quarterly,"0,242"
artivate,"0,242"
bioarchaeology of the near east,"0,242"
brazilian business review,"0,242"
brazilian journal of pharmaceutical sciences,"0,242"
bulletin of the peabody museum of natural history,"0,242"
case reports in pulmonology,"0,242"
cytologia,"0,242"
"dynamics of continuous, discrete and impulsive systems series b","0,242"
east european journal of psycholinguistics,"0,242"
environment and history,"0,242"
foucault studies,"0,242"
generos,"0,242"
geografie-sbornik cgs,"0,242"
indian journal of dental research,"0,242"
interfacial phenomena and heat transfer,"0,242"
international review of automatic control,"0,242"
istoriya,"0,242"
jiqiren/robot,"0,242"
journal of applied analysis,"0,242"
journal of fiber bioengineering and informatics,"0,242"
journal of settlements and spatial planning,"0,242"
journal of testing and evaluation,"0,242"
law and history review,"0,242"
mathematics in computer science,"0,242"
medico-legal journal,"0,242"
memoirs on differential equations and mathematical physics,"0,242"
neuroendocrinology letters,"0,242"
poblacion y sociedad,"0,242"
potchefstroom electronic law journal,"0,242"
proceedings of the entomological society of washington,"0,242"
proceedings of the ieee international conference on properties and applications of dielectric materials,"0,242"
psicogente,"0,242"
renal society of australasia journal,"0,242"
revista chilena de derecho privado,"0,242"
tem journal,"0,242"
trauma,"0,242"
agronomy research,"0,241"
agua y territorio,"0,241"
archives of thermodynamics,"0,241"
arquivo brasileiro de medicina veterinaria e zootecnia,"0,241"
atmospheric and oceanic optics,"0,241"
avicenna journal of nursing and midwifery care,"0,241"
boletin medico del hospital infantil de mexico,"0,241"
central european journal of energetic materials,"0,241"
centro journal,"0,241"
cuhso,"0,241"
economic and political weekly,"0,241"
estudios gerenciales,"0,241"
evaluation journal of australasia,"0,241"
experimental oncology,"0,241"
feminist encounters,"0,241"
international advances in economic research,"0,241"
international journal of communication networks and distributed systems,"0,241"
international journal of logistics systems and management,"0,241"
international journal of sustainable agricultural management and informatics,"0,241"
international journal on electrical engineering and informatics,"0,241"
international journal on food system dynamics,"0,241"
journal of behavioral science,"0,241"
journal of education and community health,"0,241"
journal of human values,"0,241"
journal of islamic archaeology,"0,241"
journal of partial differential equations,"0,241"
journal of reports in pharmaceutical sciences,"0,241"
larhyss journal,"0,241"
masaryk university journal of law and technology,"0,241"
medicina katastrof,"0,241"
metallofizika i noveishie tekhnologii,"0,241"
nature and culture,"0,241"
open transportation journal,"0,241"
physics open,"0,241"
production,"0,241"
respirology case reports,"0,241"
revista de llengua i dret,"0,241"
revista de nutricao,"0,241"
revista de sociologia e politica,"0,241"
revista electronica complutense de investigacion en educacion musical,"0,241"
revue d'elevage et de medecine veterinaire des pays tropicaux,"0,241"
ruan jian xue bao/journal of software,"0,241"
shokuhin eiseigaku zasshi. journal of the food hygienic society of japan,"0,241"
theoretical linguistics,"0,241"
accreditation and quality assurance,"0,240"
acta societatis botanicorum poloniae,"0,240"
acta veterinaria brno,"0,240"
annals of anthropological practice,"0,240"
asian medicine,"0,240"
bulletin of the geological society of malaysia,"0,240"
chinese journal of epidemiology,"0,240"
chinese medical sciences journal,"0,240"
climate law,"0,240"
comunicacao e sociedade,"0,240"
crustaceana,"0,240"
czech mycology,"0,240"
digest of technical papers - ieee international conference on consumer electronics,"0,240"
ega revista de expresion grafica arquitectonica,"0,240"
european journal of legal studies,"0,240"
geomagnetism and aeronomy,"0,240"
gestao e producao,"0,240"
global intellectual history,"0,240"
guang pu xue yu guang pu fen xi/spectroscopy and spectral analysis,"0,240"
hipogrifo,"0,240"
humanity,"0,240"
ieice transactions on information and systems,"0,240"
international journal of human capital and information technology professionals,"0,240"
international journal of knowledge management studies,"0,240"
international journal of sociology of education,"0,240"
iranian journal of chemistry and chemical engineering,"0,240"
iranian journal of psychiatry and clinical psychology,"0,240"
italian sociological review,"0,240"
jiliang xuebao/acta metrologica sinica,"0,240"
journal of advanced biotechnology and experimental therapeutics,"0,240"
journal of classics teaching,"0,240"
journal of emergency management,"0,240"
journal of experimental and theoretical physics,"0,240"
journal of liquid chromatography and related technologies,"0,240"
journal of mechanics of materials and structures,"0,240"
journal of perinatal education,"0,240"
journal of scientometric research,"0,240"
journal of the pakistan medical association,"0,240"
journal of tourism and development,"0,240"
limnological review,"0,240"
margin,"0,240"
measurement science review,"0,240"
millah,"0,240"
milton quarterly,"0,240"
modern africa,"0,240"
nanochemistry research,"0,240"
north-western journal of zoology,"0,240"
opto-electronics review,"0,240"
perm university herald - history,"0,240"
pertanika journal of tropical agricultural science,"0,240"
poetics today,"0,240"
proceedings of the ieee ras and embs international conference on biomedical robotics and biomechatronics,"0,240"
progress in electromagnetics research b,"0,240"
psychiatry and clinical psychopharmacology,"0,240"
science and technology indonesia,"0,240"
sibirskii filologicheskii zhurnal,"0,240"
studies in business and economics,"0,240"
transition metal chemistry,"0,240"
"treatises and documents, journal of ethnic studies","0,240"
umanistica digitale,"0,240"
unfallchirurgie,"0,240"
waikato journal of education,"0,240"
"xi'an shiyou daxue xuebao/journal of xi'an shiyou university, natural sciences edition","0,240"
zeitschrift fur die alttestamentliche wissenschaft,"0,240"
zhongguo youse jinshu xuebao/chinese journal of nonferrous metals,"0,240"
acta endocrinologica,"0,239"
acta mathematica vietnamica,"0,239"
african human rights law journal,"0,239"
"american literature; a journal of literary history, criticism and bibliography","0,239"
annals of corporate governance,"0,239"
asia pacific journal of anthropology,"0,239"
australian journal of rehabilitation counselling,"0,239"
baltic journal of modern computing,"0,239"
canadian journal of law and jurisprudence,"0,239"
candollea,"0,239"
ciencia e tecnica vitivinicola,"0,239"
communication today,"0,239"
"comparative studies of south asia, africa and the middle east","0,239"
"conference proceedings international research council on the biomechanics of injury, ircobi","0,239"
current directions in biomedical engineering,"0,239"
educacion quimica,"0,239"
fonseca journal of communication,"0,239"
heroin addiction and related clinical problems,"0,239"
international journal of heat and technology,"0,239"
international journal of nuclear energy science and technology,"0,239"
international journal of recycling of organic waste in agriculture,"0,239"
international journal of thin film science and technology,"0,239"
journal of applied journalism and media studies,"0,239"
journal of modern european history,"0,239"
journal of quantitative economics,"0,239"
journal of research in applied linguistics,"0,239"
journal of research of the national institute of standards and technology,"0,239"
journal of tort law,"0,239"
korean journal of mathematics,"0,239"
mammalian species,"0,239"
open respiratory archives,"0,239"
platonic investigations,"0,239"
processing and application of ceramics,"0,239"
review of central and east european law,"0,239"
review of network economics,"0,239"
revista de estudios latinoamericanos sobre reduccion del riesgo de desastres,"0,239"
revista mad,"0,239"
rodriguesia,"0,239"
south asian history and culture,"0,239"
theory and applications of graphs,"0,239"
tien tzu hsueh pao/acta electronica sinica,"0,239"
transnational marketing journal,"0,239"
university of pennsylvania journal of international law,"0,239"
urological science,"0,239"
veterinarni medicina,"0,239"
acta protozoologica,"0,238"
acta scientiae,"0,238"
advances in electrical and computer engineering,"0,238"
american indian culture and research journal,"0,238"
analytical chemistry letters,"0,238"
apos trends in orthodontics,"0,238"
applied ecology and environmental research,"0,238"
asian journal of agriculture and rural development,"0,238"
british journal of midwifery,"0,238"
chinese semiotic studies,"0,238"
contemporary psychoanalysis,"0,238"
critical review,"0,238"
digest of technical papers - sid international symposium,"0,238"
elia,"0,238"
emerging materials research,"0,238"
exell,"0,238"
"ieee international conference on data mining workshops, icdmw","0,238"
infinity journal,"0,238"
interdisciplinary journal for religion and transformation in contemporary society,"0,238"
international journal of aquatic biology,"0,238"
international journal of intelligence and counterintelligence,"0,238"
international journal of intelligent unmanned systems,"0,238"
international journal of surgery case reports,"0,238"
international journal of web-based learning and teaching technologies,"0,238"
journal of algebra and related topics,"0,238"
journal of central european agriculture,"0,238"
journal of ceramic processing research,"0,238"
journal of graphic engineering and design,"0,238"
journal of medical devices,"0,238"
journal of patient safety and risk management,"0,238"
journal of physical science,"0,238"
journal of the indian mathematical society,"0,238"
journal of tropical plant pests and diseases,"0,238"
lengua y sociedad,"0,238"
linguistica silesiana,"0,238"
measurement techniques,"0,238"
medico-biological and socio-psychological issues of safety in emergency situations,"0,238"
"nevrologiya, neiropsikhiatriya, psikhosomatika","0,238"
novon,"0,238"
nursing children and young people,"0,238"
paideia,"0,238"
pesquisa operacional,"0,238"
physics and chemistry of liquids,"0,238"
"proceedings of ieee pacific rim international symposium on dependable computing, prdc","0,238"
revista mexicana de ingeniera quimica,"0,238"
scientia marina,"0,238"
serbian journal of management,"0,238"
sign language and linguistics,"0,238"
silvae genetica,"0,238"
slavery and abolition,"0,238"
solid fuel chemistry,"0,238"
tekstil ve konfeksiyon,"0,238"
theoretical and experimental chemistry,"0,238"
theory of probability and mathematical statistics,"0,238"
therapeutic radiology and oncology,"0,238"
tribologia,"0,238"
visnyk of taras shevchenko national university of kyiv. geology,"0,238"
world food policy,"0,238"
yi chuan = hereditas / zhongguo yi chuan xue hui bian ji,"0,238"
zhongguo zhongyao zazhi,"0,238"
acta neurologica taiwanica,"0,237"
agypten und levante,"0,237"
analytical and bioanalytical electrochemistry,"0,237"
arboriculture and urban forestry,"0,237"
banks and bank systems,"0,237"
basrah journal of agricultural sciences,"0,237"
bulletin of the chinese ceramic society,"0,237"
bylye gody,"0,237"
chemistry and chemical technology,"0,237"
chinese journal of contemporary pediatrics,"0,237"
chung-kuo tsao chih/china pulp and paper,"0,237"
commit journal,"0,237"
comunicacion y sociedad,"0,237"
gruppe. interaktion. organisation. zeitschrift fur angewandte organisationspsychologie,"0,237"
heart surgery forum,"0,237"
international journal for simulation and multidisciplinary design optimization,"0,237"
international journal of asian studies,"0,237"
international journal of business innovation and research,"0,237"
international journal of entrepreneurship and innovation management,"0,237"
journal of epigraphic studies,"0,237"
"journal of macromolecular science, part b","0,237"
journal of the african literature association,"0,237"
lab animal,"0,237"
leviathan,"0,237"
neonatal network,"0,237"
pakistan journal of biological sciences,"0,237"
pesquisa agropecuaria brasileira,"0,237"
"preservation, digital technology and culture","0,237"
"proceedings of the international florida artificial intelligence research society conference, flairs","0,237"
revista ceres,"0,237"
revista de osteoporosis y metabolismo mineral,"0,237"
standort,"0,237"
studies about languages,"0,237"
"tenside, surfactants, detergents","0,237"
tokyo journal of mathematics,"0,237"
transactions - geothermal resources council,"0,237"
tropical natural history,"0,237"
annales-anali za istrske in mediteranske studije - series historia et sociologia,"0,236"
bamboo and silk,"0,236"
biomedical photonics,"0,236"
bulletin of the iraq natural history museum,"0,236"
cardiology discovery,"0,236"
chinese journal of school health,"0,236"
current pharmaceutical analysis,"0,236"
ecocycles,"0,236"
enfermeria global,"0,236"
environmental engineering and management journal,"0,236"
ergonomics in design,"0,236"
eurobiotech journal,"0,236"
gigiena i sanitariya,"0,236"
global philosophy,"0,236"
hayati journal of biosciences,"0,236"
human rights quarterly,"0,236"
indian journal of animal reproduction,"0,236"
indonesian journal of forestry research,"0,236"
international journal of athletic therapy and training,"0,236"
international journal of business and society,"0,236"
international journal of computational vision and robotics,"0,236"
international journal of nano dimension,"0,236"
"journal of aeronautics, astronautics and aviation","0,236"
journal of mind and behavior,"0,236"
journal of ovonic research,"0,236"
journal of pure and applied microbiology,"0,236"
journal of sustainable marketing,"0,236"
journal of the royal society of western australia,"0,236"
journal of traditional chinese medical sciences,"0,236"
jurnal ilmiah al-syir'ah,"0,236"
mechanics of advanced composite structures,"0,236"
open quaternary,"0,236"
papers in physics,"0,236"
pneumon,"0,236"
professional case management,"0,236"
pythagoras,"0,236"
qiangjiguang yu lizishu/high power laser and particle beams,"0,236"
revista brasileira de recursos hidricos,"0,236"
revista de educacion y derecho,"0,236"
russian journal of electrochemistry,"0,236"
sociologicky casopis,"0,236"
south african journal of african languages,"0,236"
spixiana,"0,236"
studijne zvesti archeologickeho ustavu slovenskej akademie vied,"0,236"
textual practice,"0,236"
"tourism, culture and communication","0,236"
traditiones,"0,236"
veterinaria mexico oa,"0,236"
women's history review,"0,236"
xi tong gong cheng yu dian zi ji shu/systems engineering and electronics,"0,236"
acta archaeologica lodziensia,"0,235"
advanced biomedical engineering,"0,235"
annales zoologici fennici,"0,235"
archives of metallurgy and materials,"0,235"
balkan social science review,"0,235"
cardiovascular and hematological disorders - drug targets,"0,235"
chernye metally,"0,235"
civil engineering and environmental systems,"0,235"
computational methods in applied sciences,"0,235"
contemporary readings in law and social justice,"0,235"
croatian journal of philosophy,"0,235"
cultural and social history,"0,235"
digital journal of ophthalmology,"0,235"
environmental and experimental biology,"0,235"
global journal al-thaqafah,"0,235"
harvard theological review,"0,235"
indo-iranian journal,"0,235"
international journal of asian business and information management,"0,235"
international journal of cast metals research,"0,235"
international journal of information systems in the service sector,"0,235"
international journal of innovative computing and applications,"0,235"
international journal of work innovation,"0,235"
iranian journal of fisheries sciences,"0,235"
journal of advertising education,"0,235"
journal of environmental horticulture,"0,235"
journal of hospital librarianship,"0,235"
kritika,"0,235"
mineralia slovaca,"0,235"
nanotechnologies in construction,"0,235"
obrazovanie i nauka,"0,235"
operative techniques in orthopaedics,"0,235"
povolzhskii ekologicheskii zhurnal,"0,235"
practical metallography,"0,235"
proceedings of the annual hawaii international conference on system sciences,"0,235"
psicooncologia,"0,235"
romanian journal of economic forecasting,"0,235"
sensors and materials,"0,235"
social work and social sciences review,"0,235"
southeastern philippines journal of research and development,"0,235"
statistics and its interface,"0,235"
sustainability and climate change,"0,235"
technology and culture,"0,235"
time and mind,"0,235"
tribology online,"0,235"
turkish journal of inequalities,"0,235"
unec journal of engineering and applied sciences,"0,235"
veterinaria italiana,"0,235"
"acta scientiarum polonorum, formatio circumiectus","0,234"
advances in animal and veterinary sciences,"0,234"
advances in fuzzy systems,"0,234"
analyse und kritik,"0,234"
caliope,"0,234"
ceridap,"0,234"
"ciriec-espana, revista juridica de economia social y cooperativa","0,234"
clinical transplantation and research,"0,234"
communication teacher,"0,234"
ecological safety of coastal and shelf zones of sea,"0,234"
economics and culture,"0,234"
"eureka, physics and engineering","0,234"
forum for linguistic studies,"0,234"
glass and ceramics,"0,234"
harvard journal of asiatic studies,"0,234"
htm - journal of heat treatment and materials,"0,234"
indian journal of extension education,"0,234"
instruments and experimental techniques,"0,234"
international journal of decision support system technology,"0,234"
international journal of metrology and quality engineering,"0,234"
iraqi journal of pharmaceutical sciences,"0,234"
jisuan lixue xuebao/chinese journal of computational mechanics,"0,234"
journal of agriculture and rural development in the tropics and subtropics,"0,234"
journal of allied health,"0,234"
journal of asian scientific research,"0,234"
journal of binocular vision and ocular motility,"0,234"
journal of bioinformatics and computational biology,"0,234"
journal of environmental and engineering geophysics,"0,234"
journal of historical research in marketing,"0,234"
journal of information and knowledge management,"0,234"
journal of intelligence studies in business,"0,234"
"journal of law, religion and state","0,234"
journal of medical cases,"0,234"
"journal of religion, media and digital culture","0,234"
journal of solar energy research,"0,234"
ler historia,"0,234"
library leadership and management,"0,234"
mathematical notes of nefu,"0,234"
mechanics in engineering,"0,234"
mission studies,"0,234"
nature environment and pollution technology,"0,234"
perioperative care and operating room management,"0,234"
pharmaceutical fronts,"0,234"
phronesis,"0,234"
polymer science - series b,"0,234"
rairo - theoretical informatics and applications,"0,234"
research on world agricultural economy,"0,234"
revista brasileira de politicas publicas,"0,234"
revista de la asociacion geologica argentina,"0,234"
revista direito gv,"0,234"
scottish affairs,"0,234"
south african journal of chemistry,"0,234"
south american journal of herpetology,"0,234"
transactions on electrical and electronic materials,"0,234"
turkish psychological counseling and guidance journal,"0,234"
ulster medical journal,"0,234"
abhandlungen aus dem mathematischen seminar der universitat hamburg,"0,233"
advances in environmental technology,"0,233"
archives of acoustics,"0,233"
archivos de cardiologia de mexico,"0,233"
arya atherosclerosis,"0,233"
athens journal of education,"0,233"
bioagro,"0,233"
boletin latinoamericano y del caribe de plantas medicinales y aromaticas,"0,233"
chinese quarterly of mechanics,"0,233"
cirugia espanola,"0,233"
coastal studies and society,"0,233"
counseling psychology and psychotherapy,"0,233"
emakeele seltsi aastaraamat,"0,233"
frontiers of business research in china,"0,233"
interaction studies,"0,233"
international journal of environmental impacts,"0,233"
international journal of practice-based learning in health and social care,"0,233"
international journal of sustainable construction engineering and technology,"0,233"
international journal of women's health and reproduction sciences,"0,233"
interpreters newsletter,"0,233"
jixie qiangdu/journal of mechanical strength,"0,233"
journal of agricultural extension,"0,233"
journal of human security,"0,233"
journal of korean gerontological nursing,"0,233"
journal of practice teaching and learning,"0,233"
journal of the korean academy of fundamentals of nursing,"0,233"
journal of the korean society of food science and nutrition,"0,233"
letters on materials,"0,233"
loisir et societe,"0,233"
membranes and membrane technologies,"0,233"
"nonlinear dynamics, psychology, and life sciences","0,233"
nutrire,"0,233"
performance evaluation review,"0,233"
prawo i wiez,"0,233"
quantum electronics,"0,233"
radioprotection,"0,233"
revue de l'ofce,"0,233"
sains malaysiana,"0,233"
"sociologia, problemas e praticas","0,233"
subjectivity,"0,233"
woman in russian society,"0,233"
xiyou jinshu cailiao yu gongcheng/rare metal materials and engineering,"0,233"
"zhendong ceshi yu zhenduan/journal of vibration, measurement and diagnosis","0,233"
zhournal novoi ekonomicheskoi associacii /journal of the new economic association,"0,233"
africa review,"0,232"
african journal of urology,"0,232"
american journal of philology,"0,232"
asia-pacific social science review,"0,232"
boletin academico,"0,232"
chemical industry and chemical engineering quarterly,"0,232"
collectanea theologica,"0,232"
critical philosophy of race,"0,232"
"documentation, information and knowledge","0,232"
drugs and therapy perspectives,"0,232"
estudios eclesiasticos,"0,232"
etudes et travaux,"0,232"
financial history review,"0,232"
fuhe cailiao xuebao/acta materiae compositae sinica,"0,232"
hispania - revista espanola de historia,"0,232"
idealistic studies,"0,232"
international journal of anthropology and ethnology,"0,232"
international journal of applied science and engineering,"0,232"
international journal of comparative psychology,"0,232"
international journal of electronic healthcare,"0,232"
journal for the study of the historical jesus,"0,232"
journal of advanced manufacturing systems,"0,232"
journal of agricultural science and technology,"0,232"
journal of applied research on children,"0,232"
journal of classical analysis,"0,232"
journal of engineering and technological sciences,"0,232"
journal of indian association for child and adolescent mental health,"0,232"
journal of opioid management,"0,232"
medical journal of malaysia,"0,232"
onomastica,"0,232"
ornitologia neotropical,"0,232"
prispevki za novejso zgodovino,"0,232"
przeglad epidemiologiczny,"0,232"
przeglad geograficzny,"0,232"
reliability,"0,232"
revista brasileira de direito processual penal,"0,232"
revista ces psicologia,"0,232"
revista cubana de educacion medica superior,"0,232"
revista mexicana de ciencias pecuarias,"0,232"
rivista italiana di geotecnica,"0,232"
sae international journal of connected and automated vehicles,"0,232"
sage open medical case reports,"0,232"
schweizerische zeitschrift fur forstwesen,"0,232"
scientific visualization,"0,232"
south china fisheries science,"0,232"
studies in gender and sexuality,"0,232"
surface engineering and applied electrochemistry,"0,232"
synthesis lectures on artificial intelligence and machine learning,"0,232"
theoretical and applied ecology,"0,232"
topics in linguistics,"0,232"
topology proceedings,"0,232"
"women, gender and research","0,232"
acta medica indonesiana,"0,231"
advanced studies,"0,231"
advances in engineering education,"0,231"
advances in polar science,"0,231"
archaeologia austriaca,"0,231"
architecture_mps,"0,231"
asia marketing journal,"0,231"
boletin del museo chileno de arte precolombino,"0,231"
"bulletin of the transilvania university of brasov, series iii","0,231"
case reports in gastroenterology,"0,231"
chemosensory perception,"0,231"
contemporary management research,"0,231"
corrosion science and technology,"0,231"
craft research,"0,231"
current science,"0,231"
design issues,"0,231"
echa przeszlosci,"0,231"
federalismi.it,"0,231"
global pediatrics,"0,231"
global perspectives,"0,231"
glq,"0,231"
hse economic journal,"0,231"
integrative medicine,"0,231"
international biomechanics,"0,231"
international journal of computational materials science and engineering,"0,231"
international journal of computing and digital systems,"0,231"
international journal of cyber criminology,"0,231"
international journal of globalisation and small business,"0,231"
iraqi national journal of earth science,"0,231"
journal of australian political economy,"0,231"
journal of computational and theoretical transport,"0,231"
journal of horticulture and postharvest research,"0,231"
journal of information processing systems,"0,231"
"journal of logic, language and information","0,231"
journal of machinery manufacture and reliability,"0,231"
journal of rehabilitation,"0,231"
journal of technology management and innovation,"0,231"
journal of urban culture research,"0,231"
journal of vascular diseases,"0,231"
jurnal teknologi,"0,231"
kant-studien,"0,231"
mathematical communications,"0,231"
mathematical modelling of engineering problems,"0,231"
obradoiro de historia moderna,"0,231"
proceedings of the european conference on computing in construction,"0,231"
progress in electromagnetics research m,"0,231"
qualitative sociology review,"0,231"
review of behavioral economics,"0,231"
spanish journal of agricultural research,"0,231"
technology and language,"0,231"
theology and science,"0,231"
trends in language acquisition research,"0,231"
trends in sciences,"0,231"
urban history,"0,231"
vestnik sankt-peterburgskogo universiteta. pravo,"0,231"
adultspan journal,"0,230"
annales medico-psychologiques,"0,230"
archeological papers of the american anthropological association,"0,230"
current nutrition and food science,"0,230"
electronic letters on computer vision and image analysis,"0,230"
estudios de historia novohispana,"0,230"
